Point ID;Tag ID;Receptions antenna RC1;Receptions antenna RC2;Receptions antenna D1;Receptions antenna D2;End Time;Start Time;X;Y
228;18;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];2018-06-09 10:48:45;2018-06-09 10:46:45;464844.234054534;6111695.7340514
221;18;[54, 55, 55, 57, 55, 0, 56, 54, 56, 54, 55, 56, 55, 0, 55, 46, 51, 54, 53, 51, 57, 0, 53, 53];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[156, 163, 159, 158, 163, 163, 157, 160, 188, 184, 187, 185, 185, 184, 183, 172, 144, 148, 139, 124, 189, 181, 175, 184];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 41, 0, 31, 48];2018-02-20 09:46:30;2018-02-20 09:44:30;464246.671605777;6111333.19036193
337;18;[0, 0, 0, 0, 29, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 11, 0, 35, 0, 0, 0, 0, 28];[48, 0, 37, 39, 39, 45, 53, 47, 53, 52, 54, 54, 45, 40, 44, 41, 47, 48, 31, 0, 29, 33, 37, 37];[0, 0, 0, 0, 35, 22, 23, 22, 43, 35, 25, 40, 19, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0];[145, 185, 166, 161, 169, 170, 167, 161, 191, 196, 184, 180, 178, 194, 114, 138, 115, 114, 130, 136, 159, 131, 119, 118];2018-02-20 10:24:00;2018-02-20 10:22:00;464590.937253897;6110958.14199412
308;18;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];2018-06-02 17:25:15;2018-06-02 17:23:15;464026.957208683;6110732.78811567
266;18;[55, 57, 55, 56, 55, 56, 56, 58, 57, 59, 59, 57, 58, 59, 60, 50, 62, 62, 61, 62, 52, 55, 54, 56];[0, 0, 0, 0, 0, 0, 0, 0, 31, 30, 32, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50];[0, 0, 0, 0, 0, 60, 48, 50, 59, 55, 62, 55, 0, 96, 83, 100, 100, 102, 93, 66, 80, 83, 84, 74];2018-02-20 11:40:15;2018-02-20 11:38:15;464264.857096921;6111110.68294961
265;12;[56, 53, 52, 52, 49, 30, 35, 33, 38, 41, 37, 50, 49, 48, 44, 47, 48, 53, 52, 55, 52, 54, 54, 61];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[132, 107, 96, 89, 103, 100, 100, 102, 108, 102, 106, 126, 127, 130, 133, 129, 127, 66, 87, 81, 78, 90, 102, 0];[49, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 42, 0];2018-01-27 07:36:00;2018-01-27 07:34:00;464179.522953408;6111058.88797393
525;18;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];2018-02-21 11:55:30;2018-02-21 11:53:30;465346.740256988;6110482.41206211
359;12;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[34, 31, 35, 34, 30, 35, 38, 0, 0, 0, 0, 0, 0, 42, 0, 46, 46, 45, 45, 44, 44, 45, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 93, 96, 97, 92, 93, 79, 0, 0, 0, 0, 0, 0, 120, 112, 120, 131, 125];2018-01-28 09:43:00;2018-01-28 09:41:00;464557.404019797;6110821.04773663
69;18;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];2018-02-18 19:31:00;2018-02-18 19:29:00;462740.876992215;6111120.4076346
126;12;[51, 49, 48, 43, 43, 43, 51, 47, 47, 47, 47, 49, 49, 50, 52, 49, 53, 53, 50, 48, 50, 46, 52, 52];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];2018-01-27 20:00:25;2018-01-27 19:58:25;463783.424363429;6111519.32995048
